Category,Mood,Name,YouTube_Link
Listen,Neutral,Uptown Funk by Mark Ronson,https://www.youtube.com/watch?v=OPf0YbXqDm0
Listen,Surprise,The Night We Met by Lord Huron,https://www.youtube.com/watch?v=KtlgYxa6BMU
Listen,Fearful,Numb by Linkin Park,https://www.youtube.com/watch?v=kXYiU_JCYtU
Listen,Sad,Ain't No Grave by Johnny Cash,https://www.youtube.com/watch?v=9zE4-LX0wrY
Listen,Happy,The Middle by Zedd,https://www.youtube.com/watch?v=M3mJkSqZbX4
Listen,Angry,Bohemian Rhapsody by Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Listen,Disgust,Weightless by Marconi Union,https://www.youtube.com/watch?v=UfcAVejslrU
Listen,Calm,Relaxing Rain Sounds,https://www.youtube.com/watch?v=UfgL_ddrgJA
Listen,Angry,Smells Like Teen Spirit,https://www.youtube.com/watch?v=69Wqhhun5_o
Listen,Angry,Bad Guy by Billie Eilish,https://www.youtube.com/watch?v=4-TbQnONe_w
Listen,Happy,Happier by Olivis Rodrigo,https://www.youtube.com/watch?v=8kX6LwuhKLs
Listen,Angry,Stronger by Kanye West,https://www.youtube.com/watch?v=PsO6ZnUZI0g
Listen,Sad,Wrecking Ball by Miley Cyrus,https://www.youtube.com/watch?v=My2FRPA3Gf8
Listen,Sad,Let it Go,https://www.youtube.com/watch?v=L0MK7qz13bU
Listen,Angry,Let It Be by The Beatles,https://www.youtube.com/watch?v=S20r29-VXcU
Listen,Sad,Rise Up by Andra Day,https://www.youtube.com/watch?v=LDffmI0ncfo
Listen,Sad,Stronger by Kelly Clarkson,https://www.youtube.com/watch?v=Xn676-fLq7I
Listen,Happy,Good Time,https://www.youtube.com/watch?v=7oBU7d5oenQ
Listen,Fearful,Count on Me by Bruno Mars,https://www.youtube.com/watch?v=6k8cpUkKK4c
Listen,Happy,Best Day of My Life,https://www.youtube.com/watch?v=vJ9KFEJVISo
Listen,Fearful,Don’t Give Up,https://www.youtube.com/watch?v=8LMB6K4rTGU
Listen,Disgust,Shake It Off byTaylor Swift,https://www.youtube.com/watch?v=8xG7mH8i-WE
Listen,Disgust,Roar by Katy Perry,https://www.youtube.com/watch?v=CevxZvSJLk8
Listen,Neutral,Roar by Katy Perry,https://www.youtube.com/watch?v=CevxZvSJLk8
Listen,Calm,Bloom,https://www.youtube.com/watch?v=8inJtTG_DuU
Listen,Neutral,Pocketful of Sunshine,https://www.youtube.com/watch?v=w2WnOFuoqfA
Listen,Disgust,Titanium,https://www.youtube.com/watch?v=AMivcP--tFI
Listen,Calm,Sunflower,https://www.youtube.com/watch?v=ApXoWvfEYVU
Listen,Calm,Rivers and Roads,https://www.youtube.com/watch?v=AclhwQKlgfw
